amount,account_age_days,previous_orders,failed_payments,new_device,transactions_last_hour,location_changed,delivery_completed,chargeback
1802.11,10,6,2,0,0,0,1,0
955.02,765,2,4,1,1,0,1,1
2095.8,289,5,0,0,3,0,0,0
5029.27,365,4,3,1,3,0,1,0
867.7,213,5,0,1,2,0,0,1
867.71,37,5,0,0,2,0,1,0
5319.92,5,1,1,1,5,0,1,1
2362.4,359,7,2,0,2,1,1,0
685.76,90,3,1,1,4,0,1,0
1886.65,55,4,0,0,0,1,1,0
689.92,148,2,0,1,0,0,1,0
688.33,98,5,3,1,4,0,1,0
1396.83,189,4,0,1,2,0,1,0
161.86,119,6,0,0,3,0,1,0
195.41,215,2,1,1,2,0,1,0
624.98,345,2,1,1,2,0,0,1
398.29,39,7,0,0,2,0,1,0
1501.54,71,2,0,0,1,1,1,0
442.29,103,7,0,0,3,0,0,0
267.12,588,2,1,0,1,0,1,0
4748.81,81,7,2,0,1,1,1,0
875.0,86,7,1,0,4,0,1,0
1173.24,190,6,0,1,0,0,1,0
263.82,97,7,1,0,3,0,1,0
636.27,543,7,0,1,2,0,1,0
1225.28,404,4,0,0,2,1,0,0
346.89,129,4,1,0,3,0,1,0
1596.71,186,2,4,0,0,0,0,1
601.46,10,3,0,0,2,0,1,0
819.18,214,4,0,1,2,1,1,0
600.82,221,5,1,0,3,0,1,0
6990.3,80,3,0,0,1,0,0,0
1081.93,44,4,1,1,1,0,1,0
380.81,443,2,2,0,1,0,1,0
2496.25,100,6,1,0,4,0,1,0
323.49,190,4,0,0,1,0,0,0
1351.36,6,3,4,0,1,1,1,1
154.52,96,7,0,0,2,0,1,0
290.56,305,5,5,0,3,0,1,0
1335.23,88,9,1,1,2,1,1,0
2294.95,166,7,0,0,2,0,1,0
1301.62,42,3,0,0,4,0,1,0
976.87,96,4,0,0,0,0,1,0
811.51,472,8,2,0,2,0,1,0
250.0,150,7,0,0,2,0,0,0
533.87,417,5,0,0,2,0,1,0
691.84,418,3,1,1,2,0,1,0
3156.19,519,6,2,0,3,0,1,0
1546.3,406,2,0,0,2,0,0,1
188.1,1,11,2,0,0,0,1,0
1516.38,489,4,1,0,2,0,1,0
746.14,26,7,1,0,2,0,1,0
557.29,7,7,0,1,1,0,1,0
2021.66,10,6,0,0,6,0,1,0
3074.81,77,7,0,0,2,0,1,0
2782.99,174,4,1,0,1,0,1,0
473.8,92,2,2,0,0,0,1,0
804.96,4,8,0,0,4,1,1,0
1527.31,116,5,1,0,1,0,1,0
2908.94,105,5,3,0,1,0,0,1
679.14,254,3,0,0,3,0,1,0
910.82,59,4,1,0,3,0,1,0
362.73,44,2,0,1,1,0,1,0
331.55,53,7,0,0,0,0,1,0
2471.36,65,6,0,0,2,0,1,0
4256.66,164,1,0,0,2,1,1,0
1020.44,114,4,3,1,2,0,1,0
2991.51,73,6,0,0,3,1,0,0
1574.41,84,7,0,1,3,0,1,0
575.29,83,6,0,0,2,0,1,0
1574.03,646,4,1,0,2,0,1,0
5105.31,47,4,1,1,3,1,1,0
1058.04,306,10,1,0,3,0,0,0
5242.97,221,5,2,0,0,1,1,0
79.86,1,8,2,0,5,0,1,0
2494.65,897,8,2,0,0,0,0,0
1196.37,254,3,0,0,2,0,1,0
813.21,206,6,2,0,3,0,1,0
1202.02,93,7,0,0,3,0,1,0
150.27,145,6,1,0,1,0,1,0
880.36,52,5,1,0,2,0,1,0
1567.3,6,6,1,0,0,0,1,0
4807.32,325,2,0,0,1,0,1,0
653.1,408,4,2,0,2,0,1,0
488.58,31,4,1,0,1,0,1,0
663.97,278,2,1,0,0,0,1,0
2739.15,243,3,0,0,5,0,1,0
1523.48,35,5,1,0,3,0,1,0
645.64,98,5,2,0,2,0,1,0
1832.19,98,5,1,0,4,0,1,0
1208.43,256,8,3,0,1,0,1,0
2888.94,327,3,1,0,1,0,1,0
543.45,17,3,1,0,2,0,1,0
790.24,148,5,2,0,1,1,1,0
740.92,258,1,2,0,1,0,1,0
253.78,277,5,2,0,1,0,1,0
1474.57,28,5,0,0,4,0,1,0
1423.76,134,3,1,0,2,0,1,0
1102.26,350,4,1,0,6,0,1,0
867.32,69,5,0,1,3,0,1,0
266.3,99,4,2,0,3,0,1,0
720.07,293,8,1,0,3,0,1,0
778.43,16,3,1,0,4,0,1,0
491.63,353,5,1,1,2,0,1,0
933.29,67,7,0,0,3,1,1,0
1642.63,1,8,0,0,3,0,1,0
7231.39,48,5,2,1,0,1,1,0
1305.81,16,1,1,1,4,0,1,0
1418.78,17,4,0,0,3,0,1,0
1017.96,212,3,0,0,2,0,1,0
160.97,43,4,1,0,6,0,1,0
1067.94,491,4,3,1,2,0,1,0
1164.71,130,1,0,0,2,0,1,0
12877.57,110,3,0,0,3,1,1,0
904.73,102,10,1,0,2,0,1,0
1482.59,212,2,1,0,1,0,0,0
1059.22,108,4,0,0,1,0,1,0
340.81,24,5,2,1,1,0,1,0
3438.61,381,8,1,0,1,0,1,0
2326.06,100,4,2,0,4,0,1,0
2418.81,13,2,1,0,2,0,1,0
441.69,135,2,0,0,0,1,1,0
4459.51,187,5,0,0,1,0,1,0
269.93,58,4,0,0,1,1,1,0
1972.11,290,4,0,1,3,0,0,0
9803.12,199,7,2,0,0,0,1,0
407.26,189,5,1,0,4,0,1,0
622.47,98,3,2,1,5,0,0,1
1211.54,588,2,1,0,1,0,1,0
662.83,57,4,0,0,2,0,1,0
232.6,155,5,1,0,3,0,1,0
1174.46,66,4,2,0,1,0,1,0
379.06,245,3,2,1,3,0,1,0
1760.92,8,5,2,0,0,0,1,0
437.28,8,4,0,0,2,0,1,0
5166.42,299,7,0,0,5,0,0,0
501.07,102,8,1,0,4,0,1,0
794.68,75,5,2,0,1,1,1,0
2473.82,168,3,0,0,0,0,0,0
320.26,217,7,1,0,3,0,1,0
1376.72,40,8,0,0,2,0,0,0
4052.72,36,7,2,0,1,0,1,0
219.76,571,6,1,0,2,1,1,0
1319.01,160,6,1,0,1,0,1,0
1422.09,89,1,1,0,2,0,1,0
2396.64,291,3,1,0,0,0,1,0
318.32,134,3,3,1,2,0,1,0
292.82,49,4,0,0,3,0,1,0
1848.15,41,2,0,0,3,1,1,0
1475.84,91,10,0,0,3,0,1,0
1408.8,353,4,1,0,1,1,1,0
1550.68,11,4,2,0,2,0,1,0
555.56,44,7,0,1,4,0,1,0
1383.34,402,3,0,1,1,0,1,0
1470.08,23,4,1,0,1,0,1,0
536.81,178,5,0,0,3,0,1,0
7085.28,43,7,0,0,2,0,0,0
1761.34,167,6,1,1,0,0,1,0
333.18,86,4,0,1,5,0,1,0
2114.46,19,4,0,1,5,0,0,0
413.77,157,6,1,0,5,0,1,0
2409.28,206,2,0,0,3,0,1,0
3493.28,205,3,1,1,3,0,1,0
482.66,182,6,1,0,3,1,1,0
2873.76,124,2,1,1,0,0,1,0
1657.03,131,4,2,0,4,0,0,0
2495.04,181,4,2,0,0,0,1,0
7308.5,210,6,0,1,2,1,1,0
858.01,191,5,1,0,1,0,1,0
516.08,159,4,0,1,2,0,1,0
450.56,30,5,2,0,1,0,1,0
485.02,42,9,2,0,2,0,1,0
1015.26,54,9,1,0,2,0,1,0
1542.49,453,8,0,0,1,0,1,0
1446.19,256,7,0,0,1,0,1,0
2507.86,144,6,3,1,1,1,1,0
1110.98,52,5,3,0,3,0,1,0
4691.62,21,3,0,0,1,1,1,0
841.63,412,4,2,0,2,0,1,0
16650.06,401,6,3,0,2,0,1,0
2050.15,21,2,2,0,0,1,1,0
465.37,287,5,1,0,1,0,1,0
375.82,106,2,0,0,2,0,1,0
1776.63,70,0,1,0,1,0,1,0
877.03,241,9,2,0,2,0,1,0
2239.48,171,2,0,0,2,0,1,0
1760.3,272,6,1,0,1,0,1,0
1019.61,13,5,1,0,3,0,1,0
470.22,69,6,0,0,2,0,1,0
241.09,69,7,1,1,1,0,0,0
701.69,72,6,2,1,2,0,1,0
2582.2,125,4,0,0,2,0,1,0
1358.44,59,5,0,0,1,0,1,0
315.53,105,7,0,1,2,0,1,0
1303.99,82,4,0,0,2,0,1,0
1612.14,239,2,0,0,3,0,1,0
453.11,166,5,1,0,3,0,1,0
1278.86,190,6,1,0,1,0,1,0
1162.36,42,6,2,0,1,1,1,0
349.68,70,4,1,0,2,0,1,0
1568.36,3,2,0,0,3,0,1,0
1921.35,20,5,3,0,0,0,1,0
3239.1,55,5,2,0,4,0,0,0
3145.73,12,5,3,0,1,0,1,0
276.53,166,2,2,1,2,1,1,0
429.31,1130,6,2,1,0,0,1,0
1835.43,19,4,0,1,2,0,1,0
1833.14,309,1,1,1,1,0,1,0
1835.46,22,5,1,0,1,0,1,0
51675.11,199,8,0,0,0,0,1,0
1940.87,185,8,2,0,1,0,1,0
3413.75,419,5,1,1,1,1,1,0
2846.94,21,7,2,0,1,0,1,0
2103.57,68,8,0,0,3,0,0,0
800.1,17,1,1,0,1,0,1,0
2342.49,94,4,2,0,1,0,1,0
506.32,436,5,1,0,3,0,1,0
865.39,273,1,1,0,1,0,1,0
674.95,231,7,2,1,3,1,1,1
1190.2,137,3,0,1,2,0,1,1
11099.54,386,3,0,1,2,0,1,0
169.48,107,3,5,0,2,0,1,0
2178.21,29,9,1,0,0,0,1,0
218.61,327,4,0,0,2,0,1,0
684.08,59,3,1,0,1,1,1,0
3258.27,9,1,3,0,2,0,1,0
1169.44,24,5,3,1,3,0,1,0
373.25,169,4,0,0,2,0,1,0
536.3,168,5,2,0,2,0,1,0
2163.75,54,8,1,0,7,0,1,0
528.28,233,2,0,0,2,0,1,0
1361.66,267,2,1,0,5,0,1,0
1147.76,455,2,1,0,2,0,1,0
571.58,158,1,1,1,1,0,1,0
9357.6,272,8,1,1,3,0,1,0
2067.14,251,11,5,0,3,0,1,0
144.73,53,2,1,1,3,0,0,0
1321.41,66,3,0,0,3,0,1,0
565.78,117,2,0,0,3,0,1,0
2571.99,3,7,0,1,1,0,1,1
496.45,63,9,0,0,5,0,1,0
977.76,115,4,0,0,2,0,0,0
1817.08,20,4,1,1,1,0,1,0
2606.48,24,5,2,0,1,0,1,0
330.2,111,2,0,1,0,0,1,0
784.85,236,7,1,0,3,1,1,0
682.02,322,4,0,1,2,0,1,0
570.59,142,6,1,0,2,1,1,0
6408.97,115,5,1,0,7,0,1,0
1644.15,87,5,1,1,0,1,1,0
310.79,38,2,0,0,2,0,1,0
2745.89,28,6,0,0,0,0,1,0
9155.92,282,8,0,0,4,0,1,0
3079.32,112,5,1,1,2,0,1,0
240.0,281,3,2,0,6,0,1,0
675.71,219,5,4,0,0,0,1,0
3892.91,38,9,2,0,2,0,1,0
540.41,128,2,0,0,2,0,1,0
1709.27,105,7,1,0,1,0,1,0
2379.47,99,4,1,0,4,0,1,0
434.01,140,7,0,1,4,0,1,0
1033.26,723,8,1,1,0,0,1,0
42.89,301,3,0,0,1,0,1,0
393.71,421,3,4,0,1,0,1,0
851.87,5,7,0,0,5,0,1,0
314.89,27,6,0,0,3,0,1,0
5610.59,15,8,1,1,1,1,1,0
262.4,54,8,1,0,1,1,1,0
706.24,104,4,1,0,3,0,1,0
1249.8,184,5,2,0,2,0,0,0
4634.45,125,6,0,0,4,0,1,0
260.9,420,3,0,0,3,0,1,0
3509.27,505,4,1,1,8,0,1,0
1107.91,32,6,1,0,0,1,1,0
410.96,345,5,1,0,2,0,1,0
1740.81,118,5,0,0,1,0,1,0
1338.17,108,6,0,0,2,0,1,0
601.71,276,6,0,0,2,1,1,0
1175.92,17,4,0,0,1,0,1,0
745.97,385,9,1,0,1,0,1,0
1228.46,200,6,1,0,1,0,1,0
2126.28,374,0,1,0,2,0,1,0
5356.24,935,2,0,1,1,0,1,0
318.04,131,5,1,0,1,1,1,0
9256.06,17,1,0,1,2,0,1,0
155.7,32,5,1,0,3,0,1,0
942.2,70,3,0,0,4,0,1,0
1974.99,19,5,5,0,3,1,1,0
1452.43,304,7,1,0,4,0,1,0
588.34,63,7,1,0,1,1,1,0
890.58,670,6,0,0,1,0,1,0
669.81,218,6,1,0,0,0,1,0
608.28,34,1,0,0,1,0,1,0
2564.71,116,7,2,0,1,0,0,0
1567.15,113,6,0,0,5,0,1,0
548.45,122,5,0,1,1,0,1,0
2696.2,138,3,0,0,3,1,1,0
1491.14,5,6,1,0,3,1,1,0
2472.2,208,3,1,0,3,0,1,0
2058.29,120,3,1,0,0,1,0,0
478.67,281,7,1,0,7,0,1,0
626.29,304,4,2,1,1,0,1,0
2315.3,47,3,1,0,2,0,1,0
2019.03,8,5,2,0,4,0,1,0
1073.95,218,5,1,0,1,1,1,0
1233.15,685,4,1,0,3,1,1,0
3935.0,106,6,0,1,1,1,1,0
606.94,54,3,0,0,1,0,1,0
1895.23,30,3,2,0,1,0,1,0
895.88,61,8,1,0,0,0,1,0
882.11,71,3,0,0,2,1,1,0
3290.44,99,8,0,0,2,0,0,0
2503.43,191,4,0,1,1,0,1,0
2473.8,57,7,1,0,3,1,1,0
4045.98,9,3,1,0,1,0,1,0
1119.91,84,3,1,0,1,0,1,0
2168.85,348,3,0,0,1,0,1,0
804.11,124,7,2,0,5,1,1,0
1516.51,602,7,2,0,4,0,1,0
962.81,126,3,2,1,4,0,1,0
1208.33,58,0,1,0,1,0,1,0
1988.54,38,3,3,0,1,0,1,0
483.85,213,5,2,0,3,0,1,0
8887.38,138,2,1,0,1,0,1,0
401.01,166,7,1,0,0,0,1,0
325.65,253,6,2,0,5,0,1,0
3491.58,232,5,0,0,0,0,1,0
2420.34,7,4,1,1,3,0,1,0
2046.98,292,9,1,1,0,0,1,0
2055.65,136,6,1,0,4,0,0,0
1083.28,89,4,0,0,3,0,1,0
447.08,138,5,2,0,1,0,1,0
1182.99,170,10,2,0,2,1,1,0
557.15,29,4,1,0,5,0,1,0
2907.71,97,3,0,0,2,0,1,0
946.66,73,7,1,0,3,0,1,0
480.34,77,10,1,0,2,1,1,0
795.22,17,5,1,0,1,0,1,0
1657.28,31,3,1,0,0,0,1,0
624.08,31,3,1,0,1,1,1,0
481.92,84,5,1,0,3,1,1,0
1399.24,404,8,0,0,0,1,1,0
1401.04,41,5,3,0,2,0,1,0
660.54,96,3,1,0,1,0,1,0
684.69,67,4,0,0,3,0,1,0
1383.05,278,4,0,0,4,0,1,0
257.73,9,6,2,0,3,0,1,0
268.42,39,4,1,0,3,0,1,0
534.62,42,5,0,0,2,0,1,0
885.85,892,6,3,1,3,0,1,0
1496.53,152,5,0,0,5,1,1,0
4795.13,26,7,2,0,4,0,1,0
2585.46,57,6,1,0,3,1,1,0
934.55,33,6,0,0,1,1,1,0
1075.98,23,5,0,0,1,0,0,0
